	broj pokusa	1	2	3	4	5	6	7	8	9	10
velièina MB											
1		0,142	0,141	0,143	0,145	0,144	0,144	0,144	0,142	0,143	0,143
2		0,189	0,188	0,189	0,189	0,189	0,188	0,188	0,186	0,187	0,188
5		0,316	0,311	0,312	0,317	0,31	0,312	0,316	0,315	0,311	0,317
10		0,521	0,523	0,522	0,521	0,521	0,521	0,52	0,521	0,522	0,522
20		0,927	0,929	0,925	0,925	0,925	0,926	0,927	0,927	0,931	0,926
50		3,541	3,545	3,541	3,542	3,551	3,545	3,543	3,552	3,543	3,552
100		6,281	6,266	6,285	6,267	6,281	6,265	6,268	6,264	6,265	6,261
200		11,963	11,8	11,846	11,808	12,005	11,805	11,822	11,998	12,006	12,008
500		28,781	31,664	28,762	28,804	28,787	28,791	28,819	28,806	28,837	28,85
